_id,username,isbn,rating,__v,createdAt,updatedAt
65b2ca579ee9b9c20704e940,stephanie_bechtelar@gmail.com,9781250166517,1.3,0,2024-01-25T20:53:43.398Z,2024-01-25T20:53:43.398Z
65b2ca579ee9b9c20704e941,lindsay_stroman@gmail.com,9780375871283,1.9,0,2024-01-25T20:53:43.400Z,2024-01-25T20:53:43.400Z
65b2ca579ee9b9c20704e942,antonio_lebsack@gmail.com,1338596705,3.1,0,2024-01-25T20:53:43.400Z,2024-01-25T20:53:43.400Z
65b2ca579ee9b9c20704e943,damon.hansen@gmail.com,1540619397,1.8,0,2024-01-25T20:53:43.400Z,2024-01-25T20:53:43.400Z
65b2ca579ee9b9c20704e944,walter_crawford@gmail.com,1450830242,5.1,0,2024-01-25T20:53:43.400Z,2024-01-25T20:53:43.400Z
65b2ca579ee9b9c20704e945,orlo.schneider@gmail.com,1338565850,1.5,0,2024-01-25T20:53:43.400Z,2024-01-25T20:53:43.400Z
65b2ca579ee9b9c20704e946,shields_valentin@gmail.com,1338323024,1.6,0,2024-01-25T20:53:43.400Z,2024-01-25T20:53:43.400Z
65b2ca579ee9b9c20704e947,nickolas_gutmann@gmail.com,1484781422,4.3,0,2024-01-25T20:53:43.400Z,2024-01-25T20:53:43.400Z
65b2ca579ee9b9c20704e948,medhurst_dagmar@gmail.com,1719203911,4.5,0,2024-01-25T20:53:43.401Z,2024-01-25T20:53:43.401Z
65b2ca579ee9b9c20704e949,connelly.randall@gmail.com,9781591473145,5.8,0,2024-01-25T20:53:43.401Z,2024-01-25T20:53:43.401Z
65b2ca579ee9b9c20704e94a,darius_welch@gmail.com,1400215528,1.5,0,2024-01-25T20:53:43.401Z,2024-01-25T20:53:43.401Z
65b2ca579ee9b9c20704e94b,chesley_hintz@gmail.com,1338157825,2.9,0,2024-01-25T20:53:43.401Z,2024-01-25T20:53:43.401Z
65b2ca579ee9b9c20704e94c,judah_nienow@gmail.com,1536201375,4.4,0,2024-01-25T20:53:43.401Z,2024-01-25T20:53:43.401Z
65b2ca579ee9b9c20704e94d,aniyah.olson@gmail.com,1680522744,4.4,0,2024-01-25T20:53:43.401Z,2024-01-25T20:53:43.401Z
65b2ca579ee9b9c20704e94e,buckridge_elouise@gmail.com,1946873144,3,0,2024-01-25T20:53:43.401Z,2024-01-25T20:53:43.401Z
65b2ca579ee9b9c20704e94f,regan_hickle@gmail.com,1484746457,2.8,0,2024-01-25T20:53:43.402Z,2024-01-25T20:53:43.402Z
65b2ca579ee9b9c20704e950,makayla.mayert@gmail.com,9780385737951,4.3,0,2024-01-25T20:53:43.402Z,2024-01-25T20:53:43.402Z
65b2ca579ee9b9c20704e951,kirlin.hilma@gmail.com,1442408936,3.7,0,2024-01-25T20:53:43.402Z,2024-01-25T20:53:43.402Z
65b2ca579ee9b9c20704e952,leo.krajcik@gmail.com,1641523921,4.2,0,2024-01-25T20:53:43.402Z,2024-01-25T20:53:43.402Z
65b2ca579ee9b9c20704e953,donato.hyatt@gmail.com,1601599358,2.5,0,2024-01-25T20:53:43.402Z,2024-01-25T20:53:43.402Z
65b2ca579ee9b9c20704e954,russel_destinee@gmail.com,1338132326,4.3,0,2024-01-25T20:53:43.402Z,2024-01-25T20:53:43.402Z
65b2ca579ee9b9c20704e955,marquis.buckridge@gmail.com,1338603639,5.9,0,2024-01-25T20:53:43.402Z,2024-01-25T20:53:43.402Z
65b2ca579ee9b9c20704e956,carmen.leannon@gmail.com,1492667838,4,0,2024-01-25T20:53:43.402Z,2024-01-25T20:53:43.402Z
65b2ca579ee9b9c20704e957,hazle.schultz@gmail.com,9780312492540,3.9,0,2024-01-25T20:53:43.402Z,2024-01-25T20:53:43.402Z
65b2ca579ee9b9c20704e958,hickle.retha@gmail.com,9780679891154,4.8,0,2024-01-25T20:53:43.402Z,2024-01-25T20:53:43.402Z
65b2ca579ee9b9c20704e959,hane.ross@gmail.com,1250043220,3.8,0,2024-01-25T20:53:43.402Z,2024-01-25T20:53:43.402Z
65b2ca579ee9b9c20704e95a,bruce_cormier@gmail.com,1338565850,2.4,0,2024-01-25T20:53:43.403Z,2024-01-25T20:53:43.403Z
65b2ca579ee9b9c20704e95b,jenifer.gorczany@gmail.com,1338305840,5.3,0,2024-01-25T20:53:43.403Z,2024-01-25T20:53:43.403Z
